# April Random Holidays
# Format: MM-DD: Theme One, Theme Two

04-01: April Fool's Day, National Sourdough Bread Day
04-02: National Peanut Butter and Jelly Day, World Autism Awareness Day
04-04: National Cordon Bleu Day, World Rat Day
04-06: National Caramel Popcorn Day, Sorry Charlie Day
04-07: World Health Day, National Beer Day
04-09: National Chinese Almond Cookie Day, Winston Churchill Day
04-11: National Pet Day, National Cheese Fondue Day
04-12: National Grilled Cheese Day, International Plant Appreciation Day
04-14: National Pecan Day, Look Up at the Sky Day
04-16: National Eggs Benedict Day, National Librarian Day
04-18: National Animal Crackers Day, International Day for Monuments
04-20: National Cheddar Fries Day, Look-Alike Day
04-22: Earth Day, National Jellybean Day
04-23: National Cherry Cheesecake Day, World Book Day
04-25: National Zucchini Bread Day, World Penguin Day
04-28: National Blueberry Pie Day, National Superhero Day
04-30: National Oatmeal Cookie Day, Adopt a Shelter Pet Day
