# December Random Holidays
# Format: MM-DD: Theme One, Theme Two

12-01: National Pie Day, World AIDS Day
12-02: National Fritters Day, National Special Education Day
12-03: National Gingerbread Day, International Day of Persons with Disabilities
12-04: National Cookie Day, National Sock Day
12-05: National Comfort Food Day, International Volunteer Day
12-06: National Miners' Day, National Gazpacho Day
12-07: National Cotton Candy Day, Pearl Harbor Remembrance Day
12-08: National Brownie Day, Pretend to Be a Time Traveler Day
12-09: National Pastry Day, National Llama Day
12-10: National Lager Day, Human Rights Day
12-11: National Noodle Ring Day, App Day
12-12: National Cocoa Day, National Violin Day
12-13: National Ice Cream Day, National Popcorn String Day
12-14: National Bouillabaisse Day, Monkey Day
12-15: National Cupcake Day, Cat Herders Day
12-16: National Chocolate Covered Anything Day, National Ugly Sweater Day
12-17: National Maple Syrup Day, Wright Brothers Day
12-18: National Roast Suckling Pig Day, Answer the Telephone Like Buddy the Elf Day
12-19: National Hard Candy Day, National Oatmeal Muffin Day
12-20: National Sangria Day, Games Day
12-21: Winter Solstice, National Crossword Puzzle Day
12-22: National Date Nut Bread Day, Humbug Day
12-23: National Pfeffernusse Day, National Roots Day
12-24: Christmas Eve, National Egg Nog Day
12-25: Christmas Day, National Pumpkin Pie Day
12-26: Kwanzaa Begins, National Candy Cane Day
12-27: National Fruitcake Day, National Make Cut-Out Snowflakes Day
12-28: National Card Playing Day, National Chocolate Candy Day
12-29: National Pepper Pot Day, Tick Tock Day
12-30: National Bicarbonate of Soda Day, Festival of Enormous Changes at the Last Minute
12-31: New Year's Eve, National Champagne Day
