# November Random Holidays
# Format: MM-DD: Theme One, Theme Two

11-01: National Cook for Your Pets Day, World Vegan Day
11-02: National Deviled Egg Day, Look for Circles Day
11-03: National Sandwich Day, National Housewife's Day
11-04: National Candy Day, King Tut Day
11-05: National Doughnut Day, National Love Your Red Hair Day
11-06: National Nachos Day, Saxophone Day
11-07: National Bittersweet Chocolate with Almonds Day, Notary Public Day
11-08: National Harvey Wallbanger Day, Cook Something Bold and Pungent Day
11-09: National Scrapple Day, National Go to an Art Museum Day
11-10: National Vanilla Cupcake Day, Marine Corps Birthday
11-11: Veterans Day, National Sundae Day
11-12: National Pizza with the Works Day, National Happy Hour Day
11-13: National Indian Pudding Day, World Kindness Day
11-14: National Pickle Day, National Spicy Guacamole Day
11-15: National Raisin Bran Cereal Day, America Recycles Day
11-16: National Fast Food Day, International Day for Tolerance
11-17: National Baklava Day, National Hiking Day
11-18: National Vichyssoise Day, National Occult Day
11-19: National Carbonated Beverage with Caffeine Day, Have a Bad Day Day
11-20: National Pineapple Upside-Down Cake Day, Beautiful Day
11-21: National Stuffing Day, World Hello Day
11-22: National Cranberry Relish Day, Go for a Ride Day
11-23: National Espresso Day, National Cashew Day
11-24: National Sardines Day, D.B. Cooper Day
11-25: National Parfait Day, International Day for the Elimination of Violence
11-26: National Cake Day, Shopping Reminder Day
11-27: National Bavarian Cream Pie Day, Electric Eel Day
11-28: National French Onion Soup Day, Red Planet Day
11-29: National Lemon Cream Pie Day, National Square Dance Day
11-30: National Mason Jar Day, Stay Home Because You Are Well Day
